Billions,Month,Category,Percentage,Percentage2
30.437,1/1/1992,DiningIn,0.185497584,0.185497584
30.382,2/1/1992,DiningIn,0.184962864,0.184962864
30.526,3/1/1992,DiningIn,0.186421736,0.186421736
30.602,4/1/1992,DiningIn,0.185737957,0.185737957
30.718,5/1/1992,DiningIn,0.391391876,0.185476129
30.761,6/1/1992,DiningIn,0.185197895,0.185197895
30.963,7/1/1992,DiningIn,0.185069185,0.185069185
31.041,8/1/1992,DiningIn,0.184991388,0.184991388
30.942,9/1/1992,DiningIn,0.182648887,0.182648887
31.148,10/1/1992,DiningIn,0.182492486,0.182492486
30.992,11/1/1992,DiningIn,0.181213273,0.181213273
31.057,12/1/1992,DiningIn,0.17952542,0.17952542
31.045,1/1/1993,DiningIn,0.177320966,0.177320966
31.233,2/1/1993,DiningIn,0.179737584,0.179737584
31.058,3/1/1993,DiningIn,0.18022608,0.18022608
31.129,4/1/1993,DiningIn,0.17610287,0.17610287
31.164,5/1/1993,DiningIn,0.397074563,0.174642047
31.168,6/1/1993,DiningIn,0.17490362,0.17490362
31.349,7/1/1993,DiningIn,0.173429815,0.173429815
31.126,8/1/1993,DiningIn,0.172259978,0.172259978
31.201,9/1/1993,DiningIn,0.171622662,0.171622662
31.346,10/1/1993,DiningIn,0.1713739,0.1713739
31.363,11/1/1993,DiningIn,0.169762809,0.169762809
31.499,12/1/1993,DiningIn,0.169041371,0.169041371
31.468,1/1/1994,DiningIn,0.16997969,0.16997969
31.688,2/1/1994,DiningIn,0.168484185,0.168484185
31.7,3/1/1994,DiningIn,0.165459215,0.165459215
31.899,4/1/1994,DiningIn,0.166459673,0.166459673
31.858,5/1/1994,DiningIn,0.166848225,0.166848225
32.123,6/1/1994,DiningIn,0.166271558,0.166271558
31.964,7/1/1994,DiningIn,0.164964415,0.164964415
32.222,8/1/1994,DiningIn,0.164266378,0.164266378
32.401,9/1/1994,DiningIn,0.163844979,0.163844979
32.196,10/1/1994,DiningIn,0.161319578,0.161319578
32.37,11/1/1994,DiningIn,0.162074473,0.162074473
32.294,12/1/1994,DiningIn,0.160930882,0.160930882
32.625,1/1/1995,DiningIn,0.161844005,0.161844005
32.399,2/1/1995,DiningIn,0.163315405,0.163315405
32.415,3/1/1995,DiningIn,0.161888828,0.161888828
32.312,4/1/1995,DiningIn,0.160717839,0.160717839
32.54,5/1/1995,DiningIn,0.160301094,0.160301094
32.597,6/1/1995,DiningIn,0.158617468,0.158617468
32.466,7/1/1995,DiningIn,0.158402412,0.158402412
32.547,8/1/1995,DiningIn,0.157590459,0.157590459
32.625,9/1/1995,DiningIn,0.157625448,0.157625448
32.578,10/1/1995,DiningIn,0.158025194,0.158025194
32.744,11/1/1995,DiningIn,0.156924389,0.156924389
32.903,12/1/1995,DiningIn,0.156357813,0.156357813
33.085,1/1/1996,DiningIn,0.158505445,0.158505445
32.928,2/1/1996,DiningIn,0.155312696,0.155312696
33.076,3/1/1996,DiningIn,0.154665544,0.154665544
33.174,4/1/1996,DiningIn,0.154553586,0.154553586
33.178,5/1/1996,DiningIn,0.153385975,0.153385975
33.281,6/1/1996,DiningIn,0.154036629,0.154036629
33.47,7/1/1996,DiningIn,0.154685868,0.154685868
33.542,8/1/1996,DiningIn,0.155032239,0.155032239
33.494,9/1/1996,DiningIn,0.152773217,0.152773217
33.704,10/1/1996,DiningIn,0.152479879,0.152479879
33.734,11/1/1996,DiningIn,0.152650132,0.152650132
33.819,12/1/1996,DiningIn,0.152407863,0.152407863
34.049,1/1/1997,DiningIn,0.152328162,0.152328162
33.989,2/1/1997,DiningIn,0.150788123,0.150788123
34.156,3/1/1997,DiningIn,0.151041851,0.151041851
34.056,4/1/1997,DiningIn,0.151637665,0.151637665
33.978,5/1/1997,DiningIn,0.378618707,0.152431967
33.892,6/1/1997,DiningIn,0.149932758,0.149932758
34.106,7/1/1997,DiningIn,0.14910509,0.14910509
34.256,8/1/1997,DiningIn,0.149382732,0.149382732
34.281,9/1/1997,DiningIn,0.148864011,0.148864011
34.348,10/1/1997,DiningIn,0.149454795,0.149454795
34.23,11/1/1997,DiningIn,0.148512274,0.148512274
34.19,12/1/1997,DiningIn,0.147882542,0.147882542
34.126,1/1/1998,DiningIn,0.147345696,0.147345696
34.102,2/1/1998,DiningIn,0.147204572,0.147204572
34.275,3/1/1998,DiningIn,0.147075862,0.147075862
34.374,4/1/1998,DiningIn,0.145667356,0.145667356
34.534,5/1/1998,DiningIn,0.384814245,0.145679273
34.592,6/1/1998,DiningIn,0.144761841,0.144761841
34.856,7/1/1998,DiningIn,0.146809703,0.146809703
34.95,8/1/1998,DiningIn,0.147835135,0.147835135
34.916,9/1/1998,DiningIn,0.146372547,0.146372547
35.093,10/1/1998,DiningIn,0.144694905,0.144694905
35.14,11/1/1998,DiningIn,0.14383542,0.14383542
35.533,12/1/1998,DiningIn,0.144105087,0.144105087
35.447,1/1/1999,DiningIn,0.14357348,0.14357348
35.707,2/1/1999,DiningIn,0.143108493,0.143108493
35.652,3/1/1999,DiningIn,0.142234209,0.142234209
36.013,4/1/1999,DiningIn,0.142672076,0.142672076
36.06,5/1/1999,DiningIn,0.141557208,0.141557208
35.872,6/1/1999,DiningIn,0.140414605,0.140414605
36.126,7/1/1999,DiningIn,0.140327298,0.140327298
36.117,8/1/1999,DiningIn,0.138776498,0.138776498
36.411,9/1/1999,DiningIn,0.139317855,0.139317855
36.271,10/1/1999,DiningIn,0.138531462,0.138531462
36.3,11/1/1999,DiningIn,0.137041637,0.137041637
37.665,12/1/1999,DiningIn,0.139564096,0.139564096
35.613,1/1/2000,DiningIn,0.132839223,0.132839223
35.98,2/1/2000,DiningIn,0.132269686,0.132269686
36.559,3/1/2000,DiningIn,0.132838446,0.132838446
37.008,4/1/2000,DiningIn,0.13655887,0.13655887
36.717,5/1/2000,DiningIn,0.135278427,0.135278427
37.175,6/1/2000,DiningIn,0.135953043,0.135953043
37.038,7/1/2000,DiningIn,0.135850468,0.135850468
37.11,8/1/2000,DiningIn,0.135962454,0.135962454
37.308,9/1/2000,DiningIn,0.134432101,0.134432101
37.476,10/1/2000,DiningIn,0.135305607,0.135305607
37.7,11/1/2000,DiningIn,0.136632321,0.136632321
38.033,12/1/2000,DiningIn,0.13793266,0.13793266
37.903,1/1/2001,DiningIn,0.135893961,0.135893961
38.252,2/1/2001,DiningIn,0.137202788,0.137202788
38.133,3/1/2001,DiningIn,0.137929164,0.137929164
38.369,4/1/2001,DiningIn,0.136639791,0.136639791
38.439,5/1/2001,DiningIn,0.136531221,0.136531221
38.569,6/1/2001,DiningIn,0.137550419,0.137550419
38.506,7/1/2001,DiningIn,0.137756599,0.137756599
38.738,8/1/2001,DiningIn,0.137650441,0.137650441
38.832,9/1/2001,DiningIn,0.140647241,0.140647241
38.944,10/1/2001,DiningIn,0.132186971,0.132186971
39.161,11/1/2001,DiningIn,0.136468497,0.136468497
38.996,12/1/2001,DiningIn,0.137451182,0.137451182
38.833,1/1/2002,DiningIn,0.136939879,0.136939879
38.885,2/1/2002,DiningIn,0.1364094,0.1364094
38.913,3/1/2002,DiningIn,0.136890837,0.136890837
38.568,4/1/2002,DiningIn,0.133536459,0.133536459
38.713,5/1/2002,DiningIn,0.135837947,0.135837947
38.723,6/1/2002,DiningIn,0.134735091,0.134735091
38.834,7/1/2002,DiningIn,0.133713463,0.133713463
38.647,8/1/2002,DiningIn,0.132089466,0.132089466
38.599,9/1/2002,DiningIn,0.133822642,0.133822642
38.693,10/1/2002,DiningIn,0.133592741,0.133592741
38.886,11/1/2002,DiningIn,0.133411099,0.133411099
39.072,12/1/2002,DiningIn,0.132979828,0.132979828
39.412,1/1/2003,DiningIn,0.133466985,0.133466985
39.285,2/1/2003,DiningIn,0.134917473,0.134917473
39.318,3/1/2003,DiningIn,0.132675546,0.132675546
39.441,4/1/2003,DiningIn,0.133407522,0.133407522
39.019,5/1/2003,DiningIn,0.131645271,0.131645271
39.48,6/1/2003,DiningIn,0.131748437,0.131748437
39.808,7/1/2003,DiningIn,0.131471525,0.131471525
39.833,8/1/2003,DiningIn,0.129435084,0.129435084
39.878,9/1/2003,DiningIn,0.130356045,0.130356045
39.776,10/1/2003,DiningIn,0.130488413,0.130488413
39.631,11/1/2003,DiningIn,0.1284423,0.1284423
39.809,12/1/2003,DiningIn,0.129518288,0.129518288
40.443,1/1/2004,DiningIn,0.130788261,0.130788261
39.922,2/1/2004,DiningIn,0.128190555,0.128190555
40.419,3/1/2004,DiningIn,0.127530882,0.127530882
40.399,4/1/2004,DiningIn,0.128851692,0.128851692
40.635,5/1/2004,DiningIn,0.127397621,0.127397621
40.608,6/1/2004,DiningIn,0.128926155,0.128926155
40.631,7/1/2004,DiningIn,0.127557043,0.127557043
40.771,8/1/2004,DiningIn,0.127830817,0.127830817
41.045,9/1/2004,DiningIn,0.126445209,0.126445209
41.177,10/1/2004,DiningIn,0.126046896,0.126046896
41.404,11/1/2004,DiningIn,0.12629447,0.12629447
41.534,12/1/2004,DiningIn,0.125148775,0.125148775
41.766,1/1/2005,DiningIn,0.126668042,0.126668042
41.755,2/1/2005,DiningIn,0.125582347,0.125582347
41.769,3/1/2005,DiningIn,0.125710657,0.125710657
42.237,4/1/2005,DiningIn,0.125146296,0.125146296
42.127,5/1/2005,DiningIn,0.12599671,0.12599671
42.284,6/1/2005,DiningIn,0.122842899,0.122842899
42.252,7/1/2005,DiningIn,0.121558056,0.121558056
42.58,8/1/2005,DiningIn,0.12427291,0.12427291
42.725,9/1/2005,DiningIn,0.124429546,0.124429546
42.837,10/1/2005,DiningIn,0.124290589,0.124290589
42.906,11/1/2005,DiningIn,0.123552991,0.123552991
43.078,12/1/2005,DiningIn,0.124118339,0.124118339
42.849,1/1/2006,DiningIn,0.119751492,0.119751492
43.374,2/1/2006,DiningIn,0.122379536,0.122379536
43.224,3/1/2006,DiningIn,0.121327802,0.121327802
43.272,4/1/2006,DiningIn,0.120996222,0.120996222
43.657,5/1/2006,DiningIn,0.122576932,0.122576932
43.738,6/1/2006,DiningIn,0.122335843,0.122335843
43.828,7/1/2006,DiningIn,0.121810087,0.121810087
44.122,8/1/2006,DiningIn,0.12246586,0.12246586
43.795,9/1/2006,DiningIn,0.122099799,0.122099799
44.633,10/1/2006,DiningIn,0.124488538,0.124488538
44.489,11/1/2006,DiningIn,0.123851308,0.123851308
44.804,12/1/2006,DiningIn,0.122876928,0.122876928
44.86,1/1/2007,DiningIn,0.123473441,0.123473441
45.27,2/1/2007,DiningIn,0.124386585,0.124386585
45.177,3/1/2007,DiningIn,0.122953028,0.122953028
45.078,4/1/2007,DiningIn,0.123203319,0.123203319
45.417,5/1/2007,DiningIn,0.122542975,0.122542975
45.576,6/1/2007,DiningIn,0.123778537,0.123778537
