metroarea,city,state,totalaveticket,ticketrank,region
"Las Vegas-Paradise, NV",Las Vegas,NV,46.04,1,west
"New York-Northern New Jersey-Long Island, NY-NJ-PA ",New York,NY,45.12,2,northeast
"Honolulu, HI ",Honolulu,HI,44.05,3,pacific
"Miami-Fort Lauderdale-Pompano Beach, FL ",Miami,FL,42.95,4,south
"Charleston-North Charleston, SC ",Charleston,SC,42.84,5,south
"New Orleans-Metairie-Kenner, LA",New Orleans,LA,42.76,6,south
"San Francisco-Oakland-Fremont, CA ",San Francisco,CA,42.29,7,west
"Worcester, MA ",Worcester,MA,41.7,8,northeast
"Oxnard-Thousand Oaks-Ventura, CA ",Oxnard,CA,40.74,9,west
"New Haven-Milford, CT ",New Haven,CT,39.34,10,northeast
"Sarasota-Bradenton-Venice, FL ",Sarasota,FL,39.07,11,south
"Cape Coral-Fort Myers, FL ",Cape Coral,FL,39.02,12,south
"Allentown-Bethlehem-Easton, PA-NJ ",Allentown,PA,38.96,13,northeast
"Providence-New Bedford-Fall River, RI-MA ",Providence,RI,37.64,14,northeast
"Buffalo-Niagara Falls, NY ",Buffalo,NY,37.59,15,northeast
"Baltimore-Towson, MD ",Baltimore,MD,37.36,16,south
"Hartford-West Hartford-East Hartford, CT ",Hartford,CT,37.27,17,northeast
"Los Angeles-Long Beach-Santa Ana, CA ",Los Angeles,CA,36.68,18,west
"Bridgeport-Stamford-Norwalk, CT ",Bridgeport,CT,36.65,19,northeast
"Youngstown-Warren-Boardman, OH-PA",Youngstown,OH,36.65,20,midwest
"Albany-Schenectady-Troy, NY ",Albany,NY,36.62,21,northeast
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,PA,36.59,22,northeast
"Chicago-Naperville-Joliet, IL-IN-WI ",Chicago,IL,36.15,23,midwest
"Houston-Sugar Land-Baytown, TX ",Houston,TX,35.8,24,south
"Stockton, CA ",Stockton,CA,35.26,25,west
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,DC,35.22,26,south
"Pittsburgh, PA ",Pittsburgh,PA,34.84,27,northeast
"Orlando-Kissimmee, FL ",Orlando,FL,34.61,28,south
"Rochester, NY ",Rochester,NY,34.56,29,northeast
"Tulsa, OK MSA (55)",Tulsa,OK,33.82,30,south
 Virginia State University VA ,Virginia State University,VA,33.62,31,south
"Deltona-Daytona Beach-Ormond Beach, FL ",Deltona,FL,33.54,32,south
"San Jose-Sunnyvale-Santa Clara, CA ",San Jose,CA,33.34,33,west
"Boston-Cambridge-Quincy, MA-NH ",Boston,MA,33.3,34,northeast
"Riverside-San Bernardino-Ontario, CA ",Riverside,CA,33.25,35,west
"Virginia Beach-Norfolk-Newport News, VA-NC ",Virginia Beach,VA,32.92,36,south
"Cleveland-Elyria-Mentor, OH ",Cleveland,OH,32.76,37,midwest
"Cincinnati-Middletown, OH-KY-IN ",Cincinnati,OH,32.42,38,midwest
"Scranton--Wilkes-Barre, PA ",Scranton,PA,32.22,39,northeast
"Harrisburg-Carlisle, PA ",Harrisburg,PA,32.08,40,northeast
"McAllen-Edinburg-Mission, TX ",McAllen,TX,31.8,41,south
"Bakersfield, CA ",Bakersfield,CA,31.8,42,west
"Minneapolis-St. Paul-Bloomington, MN-WI ",Minneapolis,MN,31.53,43,midwest
"Nashville-Davidson-Murfreesboro-Franklin, TN ",Nashville,TN,31.33,44,south
"Des Moines-West Des Moines, IA ",Des Moines,IA,31.18,45,midwest
"Kansas City, MO-KS ",Kansas City,MO,31.07,46,midwest
"Sacramento-Arden-Arcade-Roseville, CA ",Sacramento,CA,30.97,47,west
"Phoenix-Mesa-Scottsdale, AZ ",Phoenix,AZ,30.97,48,west
"Milwaukee-Waukesha-West Allis, WI ",Milwaukee,WI,30.92,49,midwest
"Louisville/Jefferson County, KY-IN ",Louisville,KY,30.92,50,south
"Baton Rouge, LA ",Baton Rouge,LA,30.86,51,south
