Period,Value,Store
1/1/1992,27835,Grocery
1/1/1992,17170,Restaurant
2/1/1992,27720,Grocery
2/1/1992,16990,Restaurant
3/1/1992,27848,Grocery
3/1/1992,16916,Restaurant
4/1/1992,27867,Grocery
4/1/1992,16677,Restaurant
5/1/1992,27987,Grocery
5/1/1992,16602,Restaurant
6/1/1992,28011,Grocery
6/1/1992,16277,Restaurant
7/1/1992,28183,Grocery
7/1/1992,16496,Restaurant
8/1/1992,28222,Grocery
8/1/1992,16733,Restaurant
9/1/1992,28122,Grocery
9/1/1992,16812,Restaurant
10/1/1992,28328,Grocery
10/1/1992,17104,Restaurant
11/1/1992,28184,Grocery
11/1/1992,17420,Restaurant
12/1/1992,28233,Grocery
12/1/1992,17491,Restaurant
1/1/1993,28220,Grocery
1/1/1993,17553,Restaurant
2/1/1993,28419,Grocery
2/1/1993,17478,Restaurant
3/1/1993,28307,Grocery
3/1/1993,17554,Restaurant
4/1/1993,28367,Grocery
4/1/1993,17770,Restaurant
5/1/1993,28386,Grocery
5/1/1993,17821,Restaurant
6/1/1993,28377,Grocery
6/1/1993,18030,Restaurant
7/1/1993,28554,Grocery
7/1/1993,17927,Restaurant
8/1/1993,28357,Grocery
8/1/1993,18201,Restaurant
9/1/1993,28478,Grocery
9/1/1993,18515,Restaurant
10/1/1993,28618,Grocery
10/1/1993,18199,Restaurant
11/1/1993,28625,Grocery
11/1/1993,18153,Restaurant
12/1/1993,28773,Grocery
12/1/1993,18238,Restaurant
1/1/1994,28722,Grocery
1/1/1994,17624,Restaurant
2/1/1994,28923,Grocery
2/1/1994,18425,Restaurant
3/1/1994,28914,Grocery
3/1/1994,18813,Restaurant
4/1/1994,29111,Grocery
4/1/1994,18533,Restaurant
5/1/1994,29025,Grocery
5/1/1994,18600,Restaurant
6/1/1994,29311,Grocery
6/1/1994,18889,Restaurant
7/1/1994,29149,Grocery
7/1/1994,18962,Restaurant
8/1/1994,29410,Grocery
8/1/1994,18868,Restaurant
9/1/1994,29545,Grocery
9/1/1994,18978,Restaurant
10/1/1994,29343,Grocery
10/1/1994,19010,Restaurant
11/1/1994,29520,Grocery
11/1/1994,19028,Restaurant
12/1/1994,29443,Grocery
12/1/1994,19178,Restaurant
1/1/1995,29791,Grocery
1/1/1995,19160,Restaurant
2/1/1995,29604,Grocery
2/1/1995,18911,Restaurant
3/1/1995,29619,Grocery
3/1/1995,19234,Restaurant
4/1/1995,29499,Grocery
4/1/1995,19346,Restaurant
5/1/1995,29763,Grocery
5/1/1995,19450,Restaurant
6/1/1995,29812,Grocery
