Year,Date,Percentage,Type
1962,7/1/1962,13.4,Obese
1962,7/1/1962,0.9,Extremely Obese
1962,7/1/1962,14.3,Total
1974,7/1/1974,14.5,Obese
1974,7/1/1974,1.3,Extremely Obese
1974,7/1/1974,15.8,Total
1980,7/1/1980,15,Obese
1980,7/1/1980,1.4,Extremely Obese
1980,7/1/1980,16.4,Total
1994,7/1/1994,23.2,Obese
1994,7/1/1994,3,Extremely Obese
1994,7/1/1994,26.2,Total
2000,7/1/2000,30.9,Obese
2000,7/1/2000,5,Extremely Obese
2000,7/1/2000,35.9,Total
2002,7/1/2002,31.3,Obese
2002,7/1/2002,5.4,Extremely Obese
2002,7/1/2002,36.7,Total
2004,7/1/2004,32.9,Obese
2004,7/1/2004,5.1,Extremely Obese
2004,7/1/2004,38,Total
2006,7/1/2006,35.1,Obese
2006,7/1/2006,6.2,Extremely Obese
2006,7/1/2006,41.3,Total
2008,7/1/2008,34.3,Obese
2008,7/1/2008,6,Extremely Obese
2008,7/1/2008,40.3,Total
